Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1924,0,285.272094195122,-13.418394634146342,10800
1925,0,115.25379009090908,-25.98657793181818,10800
1934,0,81.99139052000001,-68.38872099999999,10800
1937,0,192.447196775,-62.32543525000001,10800
1940,0,13.408410735849056,-72.68725992452829,10800
1944,0,172.52480511904764,-60.78654745238096,10800
1948,0,271.6283789767442,-33.7141256744186,10800
1948,1,13.228599800000005,-72.79902769090909,10800
1949,0,271.309184627907,-33.52960713953488,10800
1950,0,172.95496507547165,-60.55585560377359,10800
1950,1,271.80035981437123,-31.830005359281447,10800
1950,2,257.4157462352941,15.046204,10800
